frame,id,x1,y1,x2,y2,cls,conf
1650,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1650,6,0.158416748046875,129.68179321289062,97.58692932128906,223.93569946289062,62,1.0
1650,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1650,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1650,9,141.2091064453125,83.34562683105469,224.9119873046875,152.48910522460938,63,1.0
1650,10,60.68508529663086,121.85159301757812,186.99099731445312,207.41015625,62,1.0
1650,11,140.06494140625,217.77047729492188,226.95919799804688,290.0274353027344,63,1.0
1650,12,245.27301025390625,131.1011962890625,379.26898193359375,221.70126342773438,62,1.0
1680,1,171.12557983398438,114.75579833984375,309.5184631347656,208.39205932617188,62,1.0
1680,2,0.176513671875,257.35009765625,131.70156860351562,365.7286376953125,63,1.0
1680,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1680,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
1680,5,312.2191162109375,117.09537506103516,462.5355224609375,213.84280395507812,62,1.0
1680,6,0.158416748046875,129.68179321289062,97.58692932128906,223.93569946289062,62,1.0
1680,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1680,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1680,9,141.2091064453125,83.34562683105469,224.9119873046875,152.48910522460938,63,1.0
1680,10,60.68508529663086,121.85159301757812,186.99099731445312,207.41015625,62,1.0
1680,11,200.41220092773438,210.93893432617188,289.1691589355469,286.5638427734375,63,1.0
1680,12,245.27301025390625,131.1011962890625,379.26898193359375,221.70126342773438,62,1.0
1710,1,232.804443359375,109.92204284667969,377.18798828125,206.37022399902344,62,1.0
1710,2,41.66639709472656,252.3975830078125,183.9430694580078,360.63232421875,63,1.0
1710,3,253.650146484375,208.7333984375,347.4793701171875,289.4786376953125,63,1.0
1710,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
1710,5,374.736328125,115.58389282226562,479.70184326171875,216.24087524414062,62,1.0
1710,6,0.158416748046875,129.68179321289062,97.58692932128906,223.93569946289062,62,1.0
1710,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1710,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1710,9,141.2091064453125,83.34562683105469,224.9119873046875,152.48910522460938,63,1.0
1710,10,60.68508529663086,121.85159301757812,186.99099731445312,207.41015625,62,1.0
1710,11,200.41220092773438,210.93893432617188,289.1691589355469,286.5638427734375,63,1.0
1710,12,245.27301025390625,131.1011962890625,379.26898193359375,221.70126342773438,62,1.0
1740,1,311.59771728515625,121.6825942993164,465.708740234375,220.68692016601562,62,1.0
1740,2,41.66639709472656,252.3975830078125,183.9430694580078,360.63232421875,63,1.0
1740,3,322.68634033203125,219.78839111328125,428.48095703125,306.78875732421875,63,1.0
1740,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
1740,5,374.736328125,115.58389282226562,479.70184326171875,216.24087524414062,62,1.0
1740,6,0.158416748046875,129.68179321289062,97.58692932128906,223.93569946289062,62,1.0
1740,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1740,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1740,9,141.2091064453125,83.34562683105469,224.9119873046875,152.48910522460938,63,1.0
1740,10,60.68508529663086,121.85159301757812,186.99099731445312,207.41015625,62,1.0
1740,11,200.41220092773438,210.93893432617188,289.1691589355469,286.5638427734375,63,1.0
1740,12,245.27301025390625,131.1011962890625,379.26898193359375,221.70126342773438,62,1.0
1770,1,311.59771728515625,121.6825942993164,465.708740234375,220.68692016601562,62,1.0
1770,2,41.66639709472656,252.3975830078125,183.9430694580078,360.63232421875,63,1.0
1770,3,382.4410400390625,221.8177032470703,479.6676025390625,315.58856201171875,63,1.0
1770,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
1770,5,374.736328125,115.58389282226562,479.70184326171875,216.24087524414062,62,1.0
1770,6,0.158416748046875,129.68179321289062,97.58692932128906,223.93569946289062,62,1.0
1770,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
